team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,first_name,second_name
91,3,46,100,1764,21.7,3,9,2,7,32,0,0,0,3,0,0,8,345,338.4,536.5,332,120.7,1.2,91,3,51,97,2003,19,5,3,2,2,38,0,0,0,0,0,0,13,390,492.8,646.6,413,155,0.7,91,3,64,181,3165,28.3,7,14,6,9,64,0,0,0,2,0,0,23,751,930.6,1382.4,696,301.2,23.7,Ryan,Fraser
91,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,45,1,58,0.2,0,0,0,0,1,0,0,0,0,0,0,0,6,5,12.5,0,1.8,0,91,3,44,1,37,0.2,0,0,0,0,2,0,0,0,0,0,0,0,2,14,1.2,0,1.5,0,Emerson,Hyndman
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,3,50,123,2263,24.6,7,6,2,9,41,0,0,0,3,0,0,7,414,598,466.7,609,167.5,3.6,David,Brooks
91,4,60,63,1361,10.5,6,1,0,6,25,0,0,0,0,0,0,2,170,229,125.7,487,82.2,1.1,91,4,56,102,1981,18.2,8,2,3,6,33,0,0,0,0,0,0,13,282,392.2,288.4,799,147.5,4.5,91,4,69,168,2528,24.3,14,12,7,9,47,0,0,1,3,0,0,22,525,737.8,388.4,1137,225,20.3,Callum,Wilson
91,4,51,14,270,2.7,0,1,0,1,4,1,0,0,0,0,0,0,22,27.8,39.6,109,16.1,0.1,91,4,49,36,581,7.3,2,0,1,1,16,0,0,0,1,0,0,3,106,120.4,69.5,252,43.9,0.2,91,4,49,28,350,5.7,1,0,0,0,15,0,0,0,1,0,0,0,74,74.6,65.1,201,33.8,0.2,Lys,Mousset
91,3,62,178,2714,28.7,16,3,3,9,54,0,0,1,1,0,0,17,553,835.2,474.6,1007,231.6,19.3,91,4,70,110,2450,15.7,8,4,0,7,38,0,0,0,3,0,0,10,381,577,556.7,902,203.7,1.9,91,4,64,141,2963,22,12,3,4,10,57,0,0,1,3,0,0,20,457,655.4,535.7,1058,223.8,5.1,Joshua,King
56,4,74,166,3322,22.4,15,3,6,6,63,0,0,0,1,0,0,24,529,630.4,274.5,1379,227,16.1,91,4,76,60,1075,7.9,4,2,1,2,21,0,0,0,1,0,0,5,191,209.4,144.9,539,88.9,1.4,91,4,56,4,22,0.7,0,0,0,0,2,0,0,0,0,0,0,0,12,3,0,23,2.6,0.4,Jermain,Defoe
14,2,59,129,3323,21.9,0,2,1,12,41,0,0,0,0,0,0,13,735,512,716.5,294,152.4,10.3,14,2,53,7,173,1.3,0,0,0,1,1,0,0,0,1,0,0,0,25,21.8,23.8,41,8.7,0.3,91,2,44,34,1250,7.7,0,1,0,3,26,0,0,0,2,0,0,0,201,199.4,100.2,72,36.9,0.6,Nathaniel,Clyne
8,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,46,38,581,8.3,1,2,0,3,4,0,0,0,0,0,0,2,107,123.8,199.4,350,66.4,1.6,91,4,47,15,340,3.2,0,1,0,0,5,0,0,0,0,0,0,0,45,79,96,154,33,0.4,Dominic,Solanke
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,2,41,8,606,2,0,0,0,0,19,0,0,0,1,0,0,0,89,107.4,171.6,36,31.4,0,Diego,Rico
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,3,45,75,2505,16.7,2,2,0,9,49,1,0,0,12,0,0,6,410,539.6,245.8,174,96.2,0.3,Jefferson,Lerma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,2,45,27,848,6,0,1,0,2,17,0,0,0,1,0,0,0,158,177.2,24.1,22,22.5,0.1,Chris,Mepham
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,4,45,2,11,0.4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11.8,23,4,0.1,Sam,Surridge
,,,,,,,,,,,,,,,,,,,,,,,,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle,Taylor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nnamdi,Ofoborh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,1,40,9,180,2.3,0,0,0,1,5,0,0,0,0,0,9,1,46,68.2,0,0,6.8,0.3,Mark,Travers
,,,,,,,,,,,,,,,,,,,,,,,,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matt,Butcher
,,,,,,,,,,,,,,,,,,,,,,,,36,1,46,146,3420,31.7,0,0,3,10,54,0,2,0,0,0,124,13,726,911.6,0,0,91.1,3.4,36,1,44,104,3060,23.6,0,0,0,6,55,0,0,0,2,0,97,11,547,707,0,0,70.9,4.9,Mathew,Ryan
,,,,,,,,,,,,,,,,,,,,,,,,36,2,45,97,3420,21.6,1,1,1,10,54,4,0,0,7,0,0,7,637,1002.8,147.8,425,157.9,2.9,36,2,44,91,3151,20.7,2,1,1,7,56,0,0,0,5,1,0,6,573,805.8,132.9,245,118.7,3.4,Lewis,Dunk
,,,,,,,,,,,,,,,,,,,,,,,,36,2,46,100,3292,21.7,0,2,1,10,52,0,0,0,8,0,0,7,614,1027.6,98.9,361,148.9,2.9,36,2,47,115,3087,24.5,5,2,4,7,55,0,0,0,4,1,0,9,582,1024.4,84.1,499,160.9,8.1,Shane,Duffy
,,,,,,,,,,,,,,,,,,,,,,,,36,2,45,84,2014,18.7,0,0,0,10,23,0,0,0,3,0,0,8,423,360.4,174.1,35,57.2,0.8,36,2,44,46,1131,10.5,0,1,1,4,17,0,0,0,2,0,0,7,229,181.6,102,14,29.8,0.3,Bruno,Saltor Grau
,,,,,,,,,,,,,,,,,,,,,,,,36,2,44,63,2237,14.3,0,0,1,6,36,1,0,0,2,0,0,5,369,346.2,154.6,18,52.1,0.2,36,2,44,48,1805,10.9,0,0,0,5,34,0,0,0,0,0,0,0,254,220,153.3,8,38,0.1,Gaëtan,Bong
,,,,,,,,,,,,,,,,,,,,,,,,36,2,42,38,1178,9,0,0,1,4,18,0,0,0,0,0,0,3,204,187.4,105.6,17,30.8,0.4,36,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,Markus,Suttner
,,,,,,,,,,,,,,,,,,,,,,,,36,2,44,20,1313,4.5,0,0,0,0,30,0,0,0,3,0,0,0,183,210,99.2,73,38.2,0.1,36,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,Ezequiel,Schelotto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,2,42,15,591,3.6,1,0,1,0,10,0,0,0,2,0,0,0,86,134,1.1,27,16.2,0.1,Leon,Balogun
,,,,,,,,,,,,,,,,,,,,,,,,36,3,55,88,2415,16,3,1,0,11,29,0,0,0,4,1,0,6,383,404,557.2,530,149.1,0.6,36,3,52,74,1828,14.2,2,6,0,3,41,0,0,0,4,1,0,2,293,389.6,580.8,345,131.4,0.5,Anthony,Knockaert
