team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19
91.0,2.0,45.0,89.0,2938.0,19.8,0.0,1.0,1.0,10.0,54.0,0.0,0.0,0.0,4.0,1.0,0.0,7.0,639.0,748.2,291.2,130.0,117.3,1.4,Simon,Francis,91.0,2.0,43.0,56.0,2708.0,13.0,0.0,1.0,0.0,4.0,47.0,0.0,0.0,0.0,8.0,1.0,0.0,3.0,491.0,726.8,418.4,163.0,131.0,1.3,91,2,43,40,1227,9.3,0,2,0,4,24,0,0,0,1,0,0,0,244,332.4,173.3,39.0,54.4,0.2
91.0,2.0,48.0,112.0,3420.0,23.3,2.0,0.0,1.0,10.0,67.0,1.0,0.0,0.0,5.0,0.0,0.0,17.0,777.0,1123.0,66.2,391.0,158.2,3.2,Steve,Cook,91.0,2.0,46.0,83.0,2764.0,18.0,2.0,1.0,2.0,5.0,53.0,1.0,0.0,0.0,5.0,0.0,0.0,9.0,495.0,870.0,65.6,271.0,120.6,1.1,91,2,43,85,2786,19.8,1,1,1,9,56,1,0,0,3,0,0,6,549,731.0,143.3,292.0,116.5,4.2
91.0,2.0,52.0,134.0,3060.0,25.8,4.0,3.0,5.0,10.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,692.0,698.2,528.3,302.0,152.9,9.9,Charlie,Daniels,91.0,2.0,47.0,94.0,3001.0,20.0,1.0,3.0,0.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,587.0,582.2,479.7,196.0,125.9,6.6,91,2,41,44,1583,10.7,1,0,1,4,34,0,0,0,4,0,0,1,278,289.8,215.4,156.0,66.2,3.2
91.0,2.0,46.0,104.0,3101.0,22.6,1.0,5.0,1.0,8.0,61.0,1.0,0.0,0.0,6.0,0.0,0.0,12.0,645.0,566.6,509.8,242.0,132.1,7.0,Adam,Smith,91.0,2.0,48.0,56.0,2067.0,11.7,1.0,3.0,0.0,2.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,376.0,455.0,345.5,144.0,94.5,0.4,91,2,43,70,2067,16.3,1,1,0,8,33,0,0,0,5,1,0,1,383,374.0,199.8,110.0,68.5,0.4
91.0,2.0,45.0,4.0,506.0,0.9,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,125.4,18.3,45.0,18.9,0.0,Tyrone,Mings,91.0,2.0,42.0,3.0,201.0,0.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,46.6,14.8,10.0,7.2,0.2,91,2,42,5,141,1.2,0,0,0,0,4,0,0,0,0,0,0,0,41,49.0,16.3,2.0,6.8,0.1
8.0,2.0,39.0,55.0,834.0,14.1,3.0,1.0,2.0,3.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,267.0,373.2,55.5,147.0,57.5,6.1,Nathan,Aké,91.0,2.0,50.0,102.0,3352.0,20.4,2.0,3.0,1.0,6.0,59.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,642.0,932.4,115.1,287.0,133.5,6.1,91,2,51,120,3411,23.5,4,1,1,10,70,0,0,0,3,0,0,8,716,1002.0,125.9,440.0,156.8,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,2,39,10,401,2.6,0,0,0,1,9,1,0,0,0,0,0,0,73,85.4,2.0,21.0,11.0,6.1
91.0,3.0,46.0,64.0,1329.0,13.9,2.0,3.0,2.0,5.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,224.0,238.6,304.6,290.0,83.3,0.4,Marc,Pugh,91.0,3.0,47.0,32.0,974.0,6.8,0.0,0.0,0.0,5.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,97.0,99.2,195.5,224.0,51.6,0.1,91,3,43,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3
91.0,3.0,46.0,44.0,1800.0,9.6,0.0,1.0,0.0,4.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,288.0,256.8,223.8,90.0,57.0,0.1,Andrew,Surman,91.0,3.0,43.0,82.0,1851.0,19.1,2.0,5.0,1.0,5.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,363.0,458.0,261.1,121.0,84.0,3.1,91,3,46,36,1438,7.8,0,0,0,4,37,0,0,0,2,0,0,0,206,190.8,163.0,38.0,39.2,0.1
91.0,3.0,46.0,107.0,1467.0,23.3,7.0,6.0,1.0,4.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,372.0,454.6,406.9,418.0,128.0,1.3,Junior,Stanislas,91.0,3.0,57.0,75.0,1285.0,13.2,5.0,3.0,3.0,2.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,285.0,394.8,377.2,483.0,125.1,0.3,91,3,60,56,1021,9.3,2,3,0,2,24,0,0,0,1,0,0,3,205,225.2,254.5,340.0,82.0,0.1
91.0,3.0,47.0,49.0,1366.0,10.4,2.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,254.0,254.0,181.7,168.0,60.5,0.1,Dan,Gosling,91.0,3.0,48.0,59.0,1941.0,12.3,2.0,1.0,0.0,1.0,41.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,254.0,396.4,262.2,274.0,93.3,0.1,91,3,47,54,1734,11.5,2,2,0,4,33,0,0,0,8,0,0,0,237,400.6,164.7,217.0,78.1,0.1
91.0,3.0,49.0,36.0,1055.0,7.3,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,113.0,268.3,235.0,61.5,1.1,Jordon,Ibe,91.0,3.0,46.0,85.0,1988.0,18.5,2.0,6.0,1.0,4.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,289.0,362.0,602.7,610.0,157.3,1.0,91,3,49,33,789,6.7,1,1,0,1,23,0,0,0,1,0,0,0,105,131.2,174.8,155.0,46.0,0.2
91.0,3.0,42.0,17.0,432.0,4.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,81.0,100.8,89.8,28.0,21.8,0.8,Lewis,Cook,91.0,3.0,43.0,58.0,2234.0,13.5,0.0,2.0,0.0,3.0,42.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,337.0,456.4,423.3,126.0,100.7,1.2,91,3,46,22,719,4.8,0,0,0,3,10,0,0,0,2,0,0,0,91,76.0,50.4,36.0,16.5,0.1
91.0,3.0,46.0,100.0,1764.0,21.7,3.0,9.0,2.0,7.0,32.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,345.0,338.4,536.5,332.0,120.7,1.2,Ryan,Fraser,91.0,3.0,51.0,97.0,2003.0,19.0,5.0,3.0,2.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,390.0,492.8,646.6,413.0,155.0,0.7,91,3,64,181,3165,28.3,7,14,6,9,64,0,0,0,2,0,0,23,751,930.6,1382.4,696.0,301.2,23.7
91.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Emerson,Hyndman,91.0,3.0,45.0,1.0,58.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,12.5,0.0,1.8,0.0,91,3,44,1,37,0.2,0,0,0,0,2,0,0,0,0,0,0,0,2,14.0,1.2,0.0,1.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,3,50,123,2263,24.6,7,6,2,9,41,0,0,0,3,0,0,7,414,598.0,466.7,609.0,167.5,3.6
91.0,4.0,60.0,63.0,1361.0,10.5,6.0,1.0,0.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,170.0,229.0,125.7,487.0,82.2,1.1,Callum,Wilson,91.0,4.0,56.0,102.0,1981.0,18.2,8.0,2.0,3.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,282.0,392.2,288.4,799.0,147.5,4.5,91,4,69,168,2528,24.3,14,12,7,9,47,0,0,1,3,0,0,22,525,737.8,388.4,1137.0,225.0,20.3
91.0,4.0,51.0,14.0,270.0,2.7,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.8,39.6,109.0,16.1,0.1,Lys,Mousset,91.0,4.0,49.0,36.0,581.0,7.3,2.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,106.0,120.4,69.5,252.0,43.9,0.2,91,4,49,28,350,5.7,1,0,0,0,15,0,0,0,1,0,0,0,74,74.6,65.1,201.0,33.8,0.2
91.0,3.0,62.0,178.0,2714.0,28.7,16.0,3.0,3.0,9.0,54.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,553.0,835.2,474.6,1007.0,231.6,19.3,Joshua,King,91.0,4.0,70.0,110.0,2450.0,15.7,8.0,4.0,0.0,7.0,38.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,381.0,577.0,556.7,902.0,203.7,1.9,91,4,64,141,2963,22.0,12,3,4,10,57,0,0,1,3,0,0,20,457,655.4,535.7,1058.0,223.8,5.1
56.0,4.0,74.0,166.0,3322.0,22.4,15.0,3.0,6.0,6.0,63.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,529.0,630.4,274.5,1379.0,227.0,16.1,Jermain,Defoe,91.0,4.0,76.0,60.0,1075.0,7.9,4.0,2.0,1.0,2.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,191.0,209.4,144.9,539.0,88.9,1.4,91,4,56,4,22,0.7,0,0,0,0,2,0,0,0,0,0,0,0,12,3.0,0.0,23.0,2.6,0.4
