team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,first_name,second_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,43,4,96,0.9,0,0,0,1,0,0,0,0,0,0,0,0,13,9.8,467,195,6.3,435,197,0,546,217,1.6,482,202,0,Emile,Smith Rowe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,78,0,585,79,0,569,77,0,598,78,0,Tyreece,John-Jules
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,44,8,113,1.8,0,0,0,1,0,0,0,0,0,0,0,1,31,27.8,445,167,1.7,457,173,0,556,212,3,467,172,0,Pablo,Marí
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,198,0,516,199,0,485,190,0,536,198,0,Zech,Medley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,44,0,510,23,0,479,15,0,530,44,0,Matt,Macey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,202,0,522,203,0,491,194,0,542,202,0,Matthew,Smith
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,41,39,1024,9.5,1,1,0,2,28,0,0,0,1,0,0,7,224,254.6,273,109,324.1,127,29,67,324,110,64.6,253,78,1,Ahmed,El Mohamady
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,210,0,545,211,0,518,204,0,563,210,0,James,Chester
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,42,22,1088,5.2,0,0,0,2,25,0,0,0,2,0,0,0,163,157.6,341,132,79.7,297,93,29,374,135,26.7,368,133,0.2,Neil,Taylor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,7,2,44,34,1544,7.7,1,0,1,2,34,0,0,0,3,0,0,0,204,352.8,209,78,33,372,132,248,163,25,63.4,255,80,0.1,Kortney,Hause
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,54,5,111,0.9,0,0,0,0,6,0,0,0,1,0,0,0,14,3.4,489,70,12.2,421,63,24,386,65,3.8,457,64,0.1,Jonathan,Kodjia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,43,15,537,3.5,0,0,0,1,12,0,0,0,0,0,15,0,90,101.2,383,29,0,564,51,0,542,46,10.2,422,29,0.4,Ørjan,Nyland
