team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name
43,2,46,59,2014,12.8,0,0,0,4,29,0,0,0,1,0,0,4,435,441.4,78,174,69.7,13.3,John,Stones
11,2,40,9,247,2.3,0,0,0,1,3,0,0,0,0,0,0,0,44,33,18.4,25,7.5,0.2,Brendan,Galloway
11,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Tyias,Browning
11,2,39,9,180,2.3,1,0,0,0,6,0,0,0,0,0,0,0,37,63.8,10.7,33,10.8,0.9,Matthew,Pennington
11,2,45,69,1543,15.3,0,1,0,7,19,0,0,0,0,0,0,4,365,346.2,64,129,54,1.4,Ramiro,Funes Mori
11,3,59,119,2074,20.2,4,8,2,11,26,0,0,0,2,0,0,8,420,439.6,682.1,739,185.4,2.2,Kevin,Mirallas
11,3,70,144,2900,20.6,5,11,2,12,36,0,0,0,5,0,0,11,534,692.4,1237.6,973,290.3,6.6,Ross,Barkley
57,3,51,55,1848,10.8,0,3,0,3,40,0,0,0,4,0,0,0,294,255.2,438.1,93,78.7,0.1,Tom,Cleverley
11,3,47,23,613,4.9,1,1,0,0,10,0,0,0,2,0,0,0,100,119.8,80.4,84,28.6,0.2,James,McCarthy
11,3,43,68,2109,15.8,2,1,0,7,28,0,0,0,10,0,0,3,371,509.4,400.6,244,115,3.2,Gareth,Barry
56,3,43,17,640,4,0,0,0,1,12,0,0,0,4,0,0,0,101,72.4,51.5,16,13.8,0.1,Darron,Gibson
11,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Muhamed,Besic
