name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Christopher_Schindler_192,0,54,0,0,0,19,0,7,45,0.6,0,0,192,0,0,315,0,2,0,3.8,17422,20.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,90,0,0,7,0,0,0,0,7,0,32,0,145703,0,2,0,0,2,17.0,1,-7907,3047,10954,42,False,0,0
Chris_LÃÂ¶we_193,0,28,0,0,0,8,0,2,21,18.1,0,0,193,0,0,315,0,1,0,7.0,17423,14.6,1,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,79,0,1,7,0,0,0,0,1,0,32,0,6218,0,0,1,0,2,37.0,2,-25,107,132,44,False,0,0
Chris_Mepham_580,0,51,0,0,0,13,0,5,39,0.4,1,0,580,0,0,317,0,2,0,1.6,17993,13.6,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,90,0,0,11,0,0,0,0,8,0,32,0,3166,0,0,0,0,2,2.0,1,-318,322,640,45,False,0,0
Chris_Smalling_284,0,51,0,0,0,5,0,5,43,0.3,0,0,284,0,0,330,1,2,0,2.5,17540,7.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,90,0,0,20,1,0,0,0,4,0,32,0,96979,1,0,0,1,2,18.0,-1,5719,6847,1128,56,False,0,0
Chris_Wood_87,1,19,0,1,0,9,1,0,12,1.8,1,0,87,0,0,313,1,0,0,2.9,17239,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,90,1,0,20,0,0,0,0,4,0,32,0,55639,2,0,1,0,2,29.0,5,-13419,807,14226,62,True,0,0
Ciaran_Clark_311,0,0,0,0,0,0,0,0,0,0.0,0,0,311,0,0,311,0,0,0,0.0,17589,0.0,0,2019-04-01T19:00:00Z,01 Apr 20:00,0,0,0,0,0,1,0,0,0,0,0,0,32,0,10543,0,0,0,0,2,0.0,0,-81,61,142,45,False,0,0
Claudio_Bravo_261,0,0,0,0,0,0,0,0,0,0.0,0,0,261,0,0,325,0,0,0,0.0,17494,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,5,0,0,0,0,0,0,32,0,6710,0,0,0,0,2,0.0,0,-13,26,39,48,True,0,0
Collin_Quaner_209,0,0,0,0,0,0,0,0,0,0.0,0,0,209,0,0,315,0,0,0,0.0,17439,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,7,0,0,0,0,0,0,32,0,233576,0,0,0,0,2,0.0,0,5476,13116,7640,43,False,0,0
Connor_Wickham_444,0,0,0,0,0,0,0,0,0,0.0,0,0,444,0,0,307,0,0,0,0.0,17793,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,17,0,0,0,0,0,0,32,0,7345,0,0,0,0,2,0.0,0,25,373,348,49,False,0,0
Conor_Coady_430,0,43,0,0,0,12,0,7,34,0.3,0,0,430,0,0,330,0,1,0,2.6,17766,25.2,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,90,0,0,14,0,0,0,0,5,0,32,0,54550,0,0,0,1,2,0.0,2,8206,9857,1651,45,True,0,0
Conor_Coventry_548,0,0,0,0,0,0,0,0,0,0.0,0,0,548,0,0,320,0,0,0,0.0,17947,0.0,0,2019-03-30T17:30:00Z,30 Mar 17:30,0,0,0,0,0,8,0,0,0,0,0,0,32,0,716,0,0,0,2,0,0.0,0,22,60,38,45,True,0,0
Craig_Cathcart_376,0,53,0,0,0,18,0,7,46,0.7,0,0,376,0,0,329,0,1,0,2.7,17680,26.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,90,0,0,9,0,0,0,0,10,0,32,0,137679,0,1,0,1,4,0.0,2,5948,12200,6252,45,True,0,0
Cuco_Martina_163,0,0,0,0,0,0,0,0,0,0.0,0,0,163,0,0,320,0,0,0,0.0,17380,0.0,0,2019-03-30T17:30:00Z,30 Mar 17:30,0,0,0,0,0,19,0,0,0,0,0,0,32,0,2465,0,0,0,2,0,0.0,0,-4,3,7,45,False,0,0
Curtis_Jones_597,0,0,0,0,0,0,0,0,0,0.0,0,0,597,0,0,318,0,0,0,0.0,18017,0.0,0,2019-03-31T15:30:00Z,31 Mar 16:30,0,0,0,0,0,17,0,0,0,0,0,0,32,0,303,0,0,0,1,2,0.0,0,24,51,27,45,True,0,0
Cyrus_Christie_460,0,44,0,0,0,11,0,7,35,11.4,2,0,460,0,0,329,1,4,0,4.3,17819,30.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,90,0,2,18,0,0,0,0,4,0,32,0,8660,1,0,0,1,4,2.0,-1,-121,64,185,42,False,0,1
CÃÂ©dric_Soares_332,0,0,0,0,0,0,0,0,0,0.0,0,0,332,0,0,312,0,0,0,0.0,17610,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,3,0,0,0,0,0,0,32,0,136881,0,0,0,1,0,0.0,0,-2509,7,2516,42,False,0,0
CÃÂ©sar_Azpilicueta_113,0,38,0,0,0,25,1,1,35,17.8,0,0,113,0,0,265,0,0,0,4.1,17290,7.8,1,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,72,0,1,3,0,0,0,0,5,0,32,0,661713,0,0,2,0,3,15.0,6,38135,52661,14526,63,True,0,0
Daley_Blind_290,0,0,0,0,0,0,0,0,0,0.0,0,0,290,0,0,330,0,0,0,0.0,17552,0.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,0,0,0,20,0,0,0,0,0,0,32,0,552,0,0,0,1,2,0.0,0,-1,2,3,50,False,0,0
Dale_Stephens_56,0,49,0,0,0,23,0,5,43,1.3,0,0,56,0,0,265,1,3,0,2.1,17197,20.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,90,0,0,6,0,0,0,0,8,0,32,0,221988,0,5,0,0,3,0.0,2,13046,17629,4583,43,False,0,0
Daniel_Amartey_226,0,0,0,0,0,0,0,0,0,0.0,0,0,226,0,0,317,0,0,0,0.0,17457,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,2,0,0,0,0,0,0,32,0,9628,0,0,0,0,2,0.0,0,-45,20,65,43,True,0,0
Daniel_Drinkwater_128,0,0,0,0,0,0,0,0,0,0.0,0,0,128,0,0,265,0,0,0,0.0,17320,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,3,0,0,0,0,0,0,32,0,6979,0,0,0,0,3,0.0,0,-12,35,47,46,True,0,0
Daniel_Sturridge_472,0,0,0,0,0,0,0,0,0,0.0,0,0,472,0,0,318,0,0,0,0.0,17833,0.0,0,2019-03-31T15:30:00Z,31 Mar 16:30,0,0,0,0,0,17,0,0,0,0,0,0,32,0,57622,0,0,0,1,2,0.0,0,-308,299,607,56,True,0,0
Danilo Luiz_da Silva_266,0,56,0,0,2,33,1,2,51,5.1,1,0,266,0,0,325,1,0,0,1.8,17504,13.2,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,90,0,0,5,0,0,0,0,9,0,32,0,45939,1,3,0,0,2,0.0,8,-1503,2505,4008,50,True,0,0
Danny_Batth_428,0,0,0,0,0,0,0,0,0,0.0,0,0,428,0,0,330,0,0,0,0.0,17762,0.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,0,0,0,14,0,0,0,0,0,0,32,0,37904,0,0,0,1,2,0.0,0,-319,10,329,40,True,0,0
